DATE (MM/DD),MST,Global CMP22 (vent/cor) [W/m^2],Direct sNIP [W/m^2],Azimuth Angle [degrees],Tower Dry Bulb Temp [deg C],Tower Wet Bulb Temp [deg C],Tower Dew Point Temp [deg C],Total Cloud Cover [%],Peak Wind Speed @ 6ft [m/s],Precipitation (Accumulated) [mm],Moisture,Albedo (CMP11)
19-02,12:50,235.626,1.41936,191.11291,-6.492,-7.078,-8.078,98.0,2.95,0.0,1.0,0.6425
19-02,13:00,247.929,1.52817,194.1849,-6.562,-7.246,-8.546,98.0,3.2,0.0,1.0,0.6632
19-02,13:10,253.438,2.12659,197.21305,-6.295,-6.929,-8.229,99.0,3.45,0.0,1.0,0.6729
19-02,13:20,204.115,1.97821,200.18983,-6.318,-6.965,-8.265,99.0,2.45,0.0,1.0,0.6813
19-02,13:30,329.41,1.95347,203.1088,-6.362,-7.03,-8.43,98.0,3.45,0.0,1.0,0.6664
19-02,13:40,303.442,2.0524,205.96471,-6.035,-6.692,-7.892,98.0,2.7,0.0,1.0,0.6656
19-02,13:50,240.795,1.18199,208.75345,-6.253,-6.95,-8.35,98.0,3.95,0.0,0.55,0.6732
19-02,14:00,227.559,1.18693,211.47205,-6.345,-7.019,-8.319,97.0,3.95,0.0,0.0,0.6737
19-02,14:10,164.173,1.18199,214.1186,-6.258,-6.858,-8.058,97.0,3.2,0.0,1.0,0.6704
19-02,14:20,212.771,1.4342,216.69217,-6.308,-6.934,-8.134,97.0,2.7,0.0,0.8,0.6741
19-02,14:30,219.416,1.49356,219.1927,-6.24,-6.983,-8.283,97.0,2.95,0.0,0.85,0.6798
19-02,14:40,167.053,1.71116,221.62089,-6.255,-6.796,-7.896,97.0,3.2,0.0,1.0,0.6928
19-02,14:50,119.717,1.14242,223.97808,-6.24,-6.781,-7.881,96.0,3.2,0.0,1.0,0.6893
19-02,15:00,155.292,1.63204,226.26614,-6.47,-6.951,-7.951,97.0,2.7,0.0,1.0,0.6966
19-02,15:10,128.683,1.57763,228.48741,-6.3,-6.933,-8.033,96.0,3.2,0.0,0.6,0.7159
19-02,15:20,115.953,1.19683,230.64453,-6.549,-7.06,-8.16,96.0,3.7,0.0,1.0,0.719
19-02,15:30,121.955,0.989109,232.74045,-6.378,-6.944,-8.044,95.0,2.95,0.0,1.0,0.7093
19-02,15:40,119.672,0.979218,234.77828,-6.586,-7.101,-8.001,95.0,3.2,0.0,0.8,0.7187
19-02,15:50,105.455,0.949548,236.76128,-6.619,-7.055,-7.855,94.0,2.2,0.0,1.0,0.7392
19-02,16:00,107.351,0.603357,238.69282,-6.726,-7.224,-8.024,95.0,2.95,0.0,1.0,0.7507
19-02,16:10,53.6299,0.410479,240.57629,-6.727,-7.122,-7.722,94.0,2.95,0.0,1.0,0.7774
19-02,16:20,62.2046,0.593466,242.41512,-6.815,-7.16,-7.76,94.0,3.2,0.0,1.0,0.7887
19-02,16:30,47.5517,0.791287,244.21274,-6.907,-7.165,-7.765,92.0,2.2,0.0,1.0,0.8024
19-02,16:40,44.6537,0.247278,245.97257,-7.274,-7.603,-8.203,88.0,4.2,0.0,1.0,0.7984
19-02,16:50,56.0014,0.618193,247.69798,-7.286,-7.616,-8.116,92.0,2.95,0.0,1.0,0.799
19-02,17:10,20.9858,0.380807,251.05899,-7.505,-7.783,-8.383,25.0,3.7,0.0,1.0,0.8163
19-02,17:20,11.0122,0.321461,252.70121,-7.722,-8.073,-8.673,2.0,3.2,0.0,1.0,0.8374
19-02,17:30,6.37038,0.301677,254.32227,-7.691,-7.97,-8.47,0.0,2.7,0.0,1.0,0.8685
19-02,17:40,2.17016,0.237386,255.92545,-7.721,-7.939,-8.439,0.0,2.7,0.0,1.0,0.0
20-02,06:50,7.97086,0.558849,104.08824,-14.33,-15.053,-17.853,0.0,1.95,0.0,0.0,0.0
20-02,07:00,24.5165,224.789,105.69042,-13.82,-14.666,-17.866,0.0,2.2,0.0,0.0,1.0292
20-02,07:10,46.9785,354.388,107.31085,-13.94,-14.671,-17.571,2.0,2.2,0.0,0.0,1.0031
20-02,07:20,75.3479,465.416,108.95281,-13.2,-14.154,-17.654,3.0,2.7,0.0,0.0,0.9554
20-02,07:30,107.316,560.089,110.6196,-12.69,-13.794,-17.594,5.0,1.95,0.0,0.0,0.9225
20-02,07:40,141.046,633.994,112.31452,-12.65,-13.666,-17.566,5.0,2.2,0.0,0.0,0.8969
20-02,07:50,176.523,694.288,114.04094,-11.75,-12.989,-17.189,4.0,1.7,0.0,0.0,0.8712
20-02,08:00,211.958,742.257,115.80224,-11.88,-13.056,-17.156,3.0,1.95,0.0,0.0,0.8638
20-02,08:10,247.341,780.991,117.60185,-10.89,-12.194,-16.394,3.0,1.2,0.0,0.0,0.8573
20-02,08:20,282.748,819.537,119.44322,-9.95,-11.473,-16.073,5.0,1.2,0.0,0.0,0.8523
20-02,08:30,318.693,856.395,121.32981,-9.17,-10.918,-16.418,5.0,0.7,0.0,0.0,0.8422
20-02,08:40,355.506,885.374,123.2651,-9.38,-10.959,-15.959,3.0,1.7,0.0,0.0,0.8374
20-02,08:50,387.758,910.94,125.25255,-8.01,-10.076,-16.176,3.0,0.0,0.0,0.0,0.8353
20-02,09:00,418.863,926.302,127.29557,-7.105,-9.314,-15.414,5.0,0.0,0.254,0.0,0.8322
20-02,09:10,451.417,945.082,129.39747,-5.095,-7.812,-14.712,5.0,0.0,1.778,0.0,0.828
20-02,09:20,482.296,963.315,131.56144,-5.762,-8.293,-14.793,6.0,0.0,2.286,0.0,0.8219
20-02,09:30,510.053,976.338,133.79046,-4.979,-7.751,-14.851,6.0,0.0,2.286,0.0,0.8181
20-02,09:40,537.717,986.596,136.08726,-4.367,-7.311,-14.411,6.0,0.95,2.286,0.0,0.8151
20-02,09:50,562.505,974.711,138.45421,-3.597,-6.622,-13.822,9.0,0.0,2.286,0.0,0.8133
20-02,10:00,586.989,1004.79,140.89323,-4.616,-7.322,-13.922,7.0,1.2,2.286,0.0,0.8139
20-02,10:10,608.731,1015.12,143.40571,-3.889,-6.755,-13.455,7.0,1.2,2.286,0.0,0.81
20-02,10:20,628.07,1020.89,145.99237,-2.716,-6.001,-13.301,5.0,0.0,2.286,0.0,0.8054
20-02,10:30,648.673,1027.75,148.65314,-1.684,-5.15,-12.65,3.0,0.0,2.286,0.0,0.799
20-02,10:40,665.377,1032.01,151.3871,-1.691,-5.264,-12.964,5.0,0.0,2.286,0.0,0.7939
20-02,10:50,681.333,1036.64,154.1923,-1.952,-5.529,-13.329,3.0,0.0,2.286,0.0,0.7877
20-02,11:00,695.829,1037.39,157.06569,-2.721,-5.705,-12.105,3.0,1.7,2.286,0.0,0.782
20-02,11:10,708.734,1040.42,160.00307,-3.799,-6.489,-12.389,5.0,1.45,2.286,0.0,0.7777
20-02,11:20,720.416,1042.91,162.99907,-2.595,-5.66,-12.16,4.0,1.2,2.286,0.0,0.7706
20-02,11:30,730.138,1045.78,166.04709,-2.325,-5.501,-12.201,4.0,1.7,2.286,0.0,0.7635
20-02,11:40,737.31,1044.63,169.13942,-1.919,-5.214,-11.914,3.0,1.45,2.286,0.0,0.757
20-02,11:50,743.895,1047.77,172.26732,-2.032,-5.199,-11.699,3.0,1.45,2.286,0.0,0.7513
20-02,12:00,745.507,1045.97,175.42119,-2.117,-5.219,-11.619,3.0,1.2,2.286,0.0,0.7455
20-02,12:10,747.613,1048.13,178.59079,-1.366,-4.689,-11.289,4.0,0.95,2.286,0.0,0.7378
20-02,12:20,750.21,1052.5,181.76545,-1.448,-5.045,-12.445,2.0,1.2,2.286,0.0,0.7308
20-02,12:30,748.654,1056.03,184.93439,-1.352,-4.798,-11.698,2.0,0.95,2.286,0.0,0.7254
20-02,12:40,742.916,1054.11,188.08698,-0.784,-4.571,-12.171,2.0,1.45,2.286,0.0,0.7192
20-02,12:50,737.242,1052.95,191.21301,-0.368,-4.537,-13.137,4.0,0.45,2.286,0.0,0.7133
20-02,13:00,728.562,1049.8,194.30292,0.015,-3.802,-11.202,2.0,1.7,2.286,0.0,0.7077
20-02,13:10,720.879,1042.66,197.34806,-0.724,-4.274,-10.974,4.0,1.95,2.286,0.0,0.702
20-02,13:20,709.364,1043.43,200.34076,-0.289,-4.126,-11.526,4.0,1.7,2.286,0.0,0.6979
20-02,13:30,695.82,1039.72,203.27454,0.039,-4.257,-12.957,6.0,1.7,2.286,0.0,0.6924
20-02,13:40,681.941,1037.0,206.14409,0.137,-4.436,-14.236,24.0,1.95,2.286,0.0,0.6904
20-02,13:50,656.528,1014.17,208.94529,0.899,-3.558,-12.058,7.0,1.95,2.286,0.0,0.6881
20-02,14:00,640.735,1016.08,211.67517,0.485,-3.669,-11.769,6.0,1.45,2.286,0.0,0.6854
20-02,14:10,620.975,1013.97,214.33188,0.956,-3.2,-10.6,6.0,2.45,2.286,0.0,0.6828
20-02,14:20,598.996,1008.36,216.91453,1.445,-3.041,-11.341,5.0,1.7,2.286,0.0,0.6791
20-02,14:30,576.607,1003.29,219.42312,1.883,-2.803,-11.203,4.0,2.7,2.286,0.0,0.6766
20-02,14:40,551.669,995.517,221.85843,1.591,-3.271,-12.971,5.0,1.2,2.286,0.0,0.6733
20-02,14:50,526.052,989.797,224.22189,1.326,-3.25,-12.05,5.0,2.45,2.286,0.0,0.6717
20-02,15:00,499.824,986.586,226.51545,2.022,-3.004,-12.904,5.0,1.95,2.286,0.0,0.6694
20-02,15:10,470.839,976.216,228.74152,2.895,-2.468,-12.368,5.0,1.45,2.286,0.0,0.6673
20-02,15:20,441.082,960.285,230.90285,1.716,-3.165,-12.565,7.0,0.95,2.286,0.0,0.6659
20-02,15:30,408.179,940.204,233.00244,1.82,-3.147,-12.847,8.0,1.45,2.286,0.0,0.6631
20-02,15:40,377.147,923.334,235.04349,1.53,-3.209,-12.309,4.0,2.45,2.286,0.0,0.6603
20-02,15:50,343.359,901.402,237.02933,1.446,-3.041,-11.541,4.0,1.45,2.286,0.0,0.6549
20-02,16:00,308.288,872.338,238.96338,1.659,-2.999,-11.499,3.0,1.7,2.286,0.0,0.6503
20-02,16:10,271.63,834.016,240.8491,1.802,-2.539,-10.239,4.0,1.7,2.286,0.0,0.6398
20-02,16:20,236.778,798.232,242.68998,1.348,-2.536,-9.036,7.0,1.7,2.286,0.0,0.6345
20-02,16:30,202.217,762.366,244.48949,1.481,-2.441,-8.841,10.0,1.45,2.286,0.0,0.6244
20-02,16:40,167.221,710.382,246.25109,1.894,-2.201,-8.901,7.0,1.45,2.286,0.0,0.6098
20-02,16:50,134.373,665.181,247.9782,1.6,-2.47,-9.27,3.0,1.95,2.286,0.0,0.5994
20-02,17:10,71.4232,515.354,251.34252,0.959,-2.878,-9.278,5.0,1.7,2.286,0.0,0.4742
20-02,17:20,17.9722,-0.22255,252.98641,0.301,-3.128,-9.128,1.0,1.2,2.286,0.0,0.4606
20-02,17:30,11.6379,-1.64192,254.6092,-0.603,-3.66,-9.06,0.0,0.45,2.286,0.0,0.4494
20-02,17:40,5.89941,-1.58752,256.21417,-1.398,-4.176,-9.276,0.0,1.7,2.286,0.0,0.0
21-02,06:50,10.7312,137.956,103.83182,-1.016,-5.758,-18.758,0.0,3.7,0.0,0.0,0.0
21-02,07:00,27.0565,271.173,105.43607,-1.256,-5.873,-18.173,0.0,3.45,0.0,0.0,0.8771
21-02,07:10,52.9976,436.138,107.05857,-0.567,-5.43,-18.23,2.0,3.7,0.0,0.0,0.8599
21-02,07:20,83.1557,548.961,108.70262,-0.69,-5.552,-18.352,3.0,3.2,0.0,0.0,0.8064
21-02,07:30,116.701,639.314,110.37153,-0.375,-5.3,-17.7,9.0,3.95,0.0,0.0,0.7767
21-02,07:40,151.3,703.784,112.06867,-0.201,-5.201,-17.901,8.0,3.2,0.0,0.0,0.75
21-02,07:50,186.469,756.017,113.79742,-0.515,-5.302,-17.302,10.0,3.45,0.0,0.0,0.7259
21-02,08:00,221.324,796.813,115.56119,-0.301,-5.224,-17.524,8.0,3.45,0.0,0.0,0.7226
21-02,08:10,256.327,830.825,117.36346,1.566,-4.166,-18.166,9.0,4.2,0.0,0.0,0.7163
21-02,08:20,291.592,861.47,119.20773,2.711,-3.472,-18.072,6.0,2.95,0.0,0.0,0.7094
21-02,08:30,326.379,884.626,121.0975,3.774,-2.81,-17.81,8.0,3.2,0.0,0.0,0.7044
21-02,08:40,360.556,908.986,123.03632,4.303,-2.509,-17.909,8.0,2.2,0.0,0.0,0.6984
21-02,08:50,393.219,927.958,125.02769,5.135,-2.015,-17.715,14.0,2.2,0.0,0.0,0.6938
21-02,09:00,425.277,945.183,127.0751,5.638,-1.524,-16.224,10.0,1.95,0.0,0.0,0.689
21-02,09:10,456.152,958.774,129.18192,6.062,-1.36,-16.26,12.0,1.95,0.0,0.0,0.6853
21-02,09:20,485.895,971.998,131.35142,6.825,-0.803,-15.703,10.0,1.95,0.0,0.0,0.6801
21-02,09:30,512.57,983.134,133.58666,8.14,-0.272,-16.472,10.0,0.95,0.0,0.0,0.6749
21-02,09:40,541.471,997.752,135.89042,9.13,0.28,-16.42,10.0,2.2,0.0,0.0,0.6708
21-02,09:50,566.39,1007.1,138.26518,9.08,0.406,-15.694,11.0,1.2,0.0,0.0,0.6649
21-02,10:00,590.61,1020.3,140.71293,9.37,0.513,-16.187,11.0,2.2,0.0,0.0,0.6598
21-02,10:10,612.723,1021.75,143.23511,9.02,0.582,-14.318,12.0,2.2,0.0,0.0,0.6557
21-02,10:20,632.891,1025.86,145.83252,9.58,0.834,-14.366,9.0,2.2,0.0,0.0,0.6521
21-02,10:30,651.618,1036.48,148.50516,11.14,1.497,-15.893,9.0,0.0,0.0,0.0,0.6468
21-02,10:40,673.084,1037.69,151.25211,10.25,1.796,-11.204,6.0,2.45,0.0,0.0,0.6396
21-02,10:50,688.505,1042.78,154.07145,11.72,2.441,-11.559,10.0,1.45,0.0,0.0,0.6324
21-02,11:00,701.98,1045.58,156.96012,11.08,2.386,-10.414,11.0,1.7,0.0,0.0,0.6272
21-02,11:10,714.211,1046.09,159.9139,9.74,1.433,-11.757,11.0,1.95,0.0,0.0,0.6196
21-02,11:20,723.624,1047.27,162.92731,10.73,1.847,-12.053,6.0,1.7,0.0,0.0,0.6107
21-02,11:30,731.307,1047.36,165.99366,11.2,1.925,-12.875,10.0,2.2,0.0,0.0,0.6024
21-02,11:40,740.7,1049.78,169.10511,11.24,1.765,-14.435,17.0,2.7,0.0,0.0,0.5949
21-02,11:50,749.653,1055.8,172.25275,11.72,1.441,-18.659,9.0,3.2,0.0,0.0,0.5867
21-02,12:00,754.256,1056.44,175.42679,11.29,1.313,-17.587,9.0,3.2,0.0,0.0,0.5796
21-02,12:10,756.595,1057.67,178.61676,11.37,1.562,-16.238,7.0,2.7,0.0,0.0,0.5716
21-02,12:20,756.196,1057.34,181.81177,12.06,1.689,-17.611,12.0,2.7,0.0,0.0,0.5636
21-02,12:30,754.081,1057.31,185.00083,11.86,1.593,-18.007,10.0,1.95,0.0,0.0,0.5554
21-02,12:40,749.504,1053.05,188.17308,11.63,1.752,-15.648,7.0,4.2,0.0,0.0,0.5517
21-02,12:50,744.054,1045.7,191.31811,11.22,1.296,-17.604,10.0,3.7,0.0,0.0,0.5473
21-02,13:00,758.825,1032.01,194.42619,11.99,2.136,-14.064,16.0,2.45,0.0,0.0,0.5407
21-02,13:10,768.071,1044.27,197.48851,11.92,2.198,-13.502,19.0,1.45,0.0,0.0,0.5337
21-02,13:20,733.068,1042.4,200.49731,12.37,2.11,-15.89,13.0,2.2,0.0,0.0,0.5288
21-02,13:30,708.823,1028.68,203.44603,12.58,2.592,-13.108,11.0,1.95,0.0,0.0,0.5212
21-02,13:40,627.989,913.733,206.3293,12.15,2.271,-14.129,12.0,3.95,0.0,0.0,0.5176
21-02,13:50,671.373,1029.13,209.143,12.39,2.782,-11.818,14.0,2.2,0.0,0.0,0.511
21-02,14:00,664.583,1025.96,211.8842,12.54,2.793,-12.197,12.0,1.7,0.0,0.0,0.5026
21-02,14:10,630.242,1018.87,214.55104,12.73,2.774,-12.726,11.0,1.95,0.0,0.0,0.4993
21-02,14:20,607.882,1014.68,217.14273,12.73,2.415,-14.585,12.0,2.7,0.0,0.0,0.4964
21-02,14:30,581.783,1005.92,219.65932,12.37,2.187,-15.113,9.0,2.95,0.0,0.0,0.4941
21-02,14:40,553.452,993.822,222.10168,12.35,1.787,-18.013,8.0,3.2,0.0,0.0,0.4928
21-02,14:50,527.202,985.663,224.47131,12.53,1.865,-18.235,12.0,1.45,0.0,0.0,0.4915
21-02,15:00,497.56,972.903,226.77027,13.17,2.449,-16.551,9.0,2.2,0.0,0.0,0.4904
21-02,15:10,466.61,953.077,229.00104,13.41,2.647,-15.353,7.0,1.2,0.0,0.0,0.4869
21-02,15:20,435.755,935.003,231.16646,13.46,2.873,-14.427,8.0,2.45,0.0,0.0,0.4855
21-02,15:30,404.328,918.69,233.2696,13.57,2.979,-13.821,11.0,0.7,0.0,0.0,0.4813
21-02,15:40,372.529,898.802,235.31375,13.16,2.708,-14.392,6.0,1.2,0.0,0.0,0.4765
21-02,15:50,340.011,879.937,237.30232,13.6,3.046,-13.454,7.0,0.0,0.0,0.0,0.4705
21-02,16:00,306.68,857.037,239.23877,13.42,3.175,-12.125,9.0,0.0,0.0,0.0,0.4616
21-02,16:10,272.257,824.9,241.12663,12.47,2.019,-16.381,10.0,1.45,0.0,0.0,0.4586
21-02,16:20,239.002,795.222,242.96945,11.84,1.8,-15.7,24.0,3.45,0.0,0.0,0.4578
21-02,16:30,205.166,760.271,244.77074,11.56,1.808,-14.892,19.0,2.2,0.0,0.0,0.4497
21-02,16:40,171.384,718.381,246.53401,11.29,1.698,-14.902,7.0,2.7,0.0,0.0,0.4408
21-02,16:50,63.8578,199.453,248.26272,10.89,1.727,-13.373,3.0,1.45,0.0,0.0,0.3974
21-02,17:10,74.2072,513.612,251.63017,10.22,1.339,-13.261,6.0,1.2,0.0,0.0,0.3592
21-02,17:20,19.0789,3.19477,253.27565,10.17,1.288,-13.312,1.0,1.2,0.0,0.0,0.3236
21-02,17:30,11.9363,-0.474766,254.90008,9.51,1.023,-12.777,0.0,0.0,0.0,0.0,0.2233
21-02,17:40,5.88604,-1.58257,256.50678,8.68,0.713,-12.187,0.0,0.7,0.0,0.0,0.0
22-02,06:50,3.73993,0.093965,103.57506,8.34,0.494,-12.206,0.0,0.0,0.0,0.0,0.0
22-02,07:00,13.7505,0.197822,105.18134,8.71,0.736,-12.264,0.0,0.0,0.0,0.0,0.3862
22-02,07:10,25.8273,0.089019,106.80587,8.4,0.522,-12.178,3.0,0.0,0.0,0.0,0.4104
22-02,07:20,42.7044,3.99102,108.45197,8.26,0.508,-12.192,33.0,1.7,0.0,0.0,0.4318
22-02,07:30,55.1707,3.51626,110.12299,8.82,0.902,-11.698,59.0,0.0,0.0,0.0,0.458
22-02,07:40,75.896,17.7346,111.82231,8.42,0.823,-11.077,71.0,0.95,0.0,0.0,0.465
22-02,07:50,112.936,45.2119,113.55335,8.23,0.79,-10.81,69.0,1.2,0.0,0.0,0.4748
22-02,08:00,150.927,124.884,115.31958,8.45,0.897,-10.503,71.0,1.7,0.0,0.0,0.4873
22-02,08:10,209.694,229.208,117.1245,9.18,1.337,-10.263,81.0,1.7,0.0,0.0,0.4915
22-02,08:20,207.78,183.464,118.97166,9.7,1.632,-10.168,79.0,3.2,0.0,0.0,0.4874
22-02,08:30,215.677,96.1107,120.86461,9.93,1.858,-9.942,81.0,2.45,0.0,0.0,0.472
22-02,08:40,210.551,89.6419,122.80696,10.24,2.289,-8.901,70.0,2.45,0.0,0.0,0.4755
22-02,08:50,303.606,198.722,124.80228,9.51,1.533,-10.567,83.0,0.0,0.0,0.0,0.4723
22-02,09:00,249.199,101.171,126.85409,10.49,2.238,-9.562,75.0,0.0,0.0,0.0,0.4728
22-02,09:10,349.243,230.561,128.96587,11.08,2.482,-9.618,78.0,1.2,0.0,0.0,0.4766
22-02,09:20,373.907,245.764,131.14095,11.58,2.933,-9.067,77.0,0.7,0.0,0.0,0.4708
22-02,09:30,354.6,160.476,133.38245,8.29,1.314,-8.686,73.0,1.2,0.0,0.0,0.4558
22-02,09:40,414.645,291.674,135.69327,9.54,2.334,-7.066,68.0,1.45,0.0,0.0,0.4606
22-02,09:50,496.631,384.839,138.07593,9.02,2.003,-7.497,74.0,2.7,0.0,0.0,0.4611
22-02,10:00,460.242,283.694,140.53252,9.58,2.289,-7.411,73.0,2.2,0.0,0.0,0.4613
22-02,10:10,565.363,547.813,143.06456,10.36,3.043,-6.257,57.0,2.7,0.0,0.0,0.4615
22-02,10:20,517.452,460.598,145.6729,10.81,3.097,-6.903,50.0,2.2,0.0,0.0,0.4579
22-02,10:30,520.23,453.472,148.35759,11.24,3.331,-6.569,59.0,3.2,0.0,0.0,0.4522
22-02,10:40,551.756,408.136,151.11776,11.3,3.298,-7.002,69.0,2.45,0.0,0.0,0.4505
22-02,10:50,627.75,545.804,153.95149,11.88,3.49,-7.31,68.0,3.45,0.0,0.0,0.4366
22-02,11:00,605.342,518.576,156.85573,11.98,3.406,-7.694,58.0,3.45,0.0,0.0,0.4344
22-02,11:10,634.418,611.079,159.8262,12.04,3.403,-7.997,49.0,3.7,0.0,0.0,0.4315
22-02,11:20,581.341,540.602,162.85736,12.53,3.483,-8.417,49.0,2.45,0.0,0.0,0.4227
22-02,11:30,660.406,608.791,165.94241,12.91,3.805,-7.995,49.0,2.2,0.0,0.0,0.4197
22-02,11:40,586.259,423.511,169.07336,12.91,3.947,-7.453,69.0,1.7,0.0,0.0,0.4048
22-02,11:50,683.793,657.89,172.24112,13.48,4.079,-8.121,60.0,3.2,0.0,0.0,0.4101
22-02,12:00,375.402,110.745,175.43571,12.59,3.47,-8.63,59.0,3.2,0.0,0.0,0.3947
22-02,12:10,667.559,603.857,178.64642,12.8,3.928,-7.462,56.0,2.2,0.0,0.0,0.3913
22-02,12:20,762.895,990.825,181.86217,13.81,4.136,-8.364,30.0,2.2,0.0,0.0,0.3941
22-02,12:30,664.771,711.779,185.07169,14.4,4.727,-7.363,36.0,2.95,0.0,0.0,0.3879
22-02,12:40,560.105,435.578,188.26391,13.76,4.045,-8.655,56.0,3.45,0.0,0.0,0.3795
22-02,12:50,673.123,647.198,191.42822,14.37,4.453,-8.347,65.0,4.45,0.0,0.0,0.3738
22-02,13:00,691.497,784.527,194.55472,14.69,4.426,-8.874,46.0,2.95,0.0,0.0,0.3706
22-02,13:10,752.385,943.543,197.63443,14.84,4.656,-8.444,36.0,2.45,0.0,0.0,0.3681
22-02,13:20,456.386,401.442,200.65949,14.75,4.562,-8.738,40.0,2.2,0.0,0.0,0.3643
22-02,13:30,462.925,392.07,203.62326,15.02,4.857,-7.943,46.0,1.45,0.0,0.0,0.356
22-02,13:40,584.119,587.028,206.52034,15.06,4.468,-9.632,63.0,2.2,0.0,0.0,0.3474
22-02,13:50,682.479,865.574,209.34659,14.76,4.545,-8.555,52.0,2.45,0.0,0.0,0.35
22-02,14:00,372.745,232.076,212.0991,14.3,4.161,-9.339,63.0,1.2,0.0,0.0,0.3333
22-02,14:10,366.225,61.4569,214.77607,14.46,4.33,-8.97,93.0,0.95,0.0,0.0,0.3276
22-02,14:20,534.556,383.371,217.37674,15.39,4.918,-8.382,95.0,1.2,0.0,0.0,0.3328
22-02,14:30,359.906,105.408,219.90127,14.18,5.039,-5.661,93.0,4.95,0.0,0.0,0.318
22-02,14:40,307.451,35.6716,222.3506,11.06,3.872,-4.528,95.0,4.2,0.0,0.0,0.3105
22-02,14:50,322.788,54.7861,224.72631,10.62,3.711,-4.389,97.0,4.7,0.0,0.0,0.3136
22-02,15:00,369.222,205.916,227.03055,10.41,3.446,-4.754,98.0,4.7,0.0,0.0,0.314
22-02,15:10,455.027,364.551,229.26591,9.96,3.348,-4.352,93.0,5.2,0.0,0.0,0.3161
22-02,15:20,443.758,695.109,231.43529,10.33,3.401,-4.899,67.0,3.95,0.0,0.0,0.3187
22-02,15:30,156.13,28.7329,233.54187,9.51,3.06,-4.74,57.0,4.45,0.0,0.0,0.2883
22-02,15:40,209.6,48.4311,235.58901,9.51,3.131,-4.369,85.0,3.7,0.0,0.0,0.2913
22-02,15:50,162.082,6.88906,237.58016,9.51,3.024,-4.876,94.0,2.95,0.0,0.0,0.2836
22-02,16:00,142.636,0.722036,239.51889,9.43,2.939,-4.861,96.0,2.7,0.0,0.0,0.2811
22-02,16:10,140.558,2.56669,241.40878,9.63,3.117,-4.683,97.0,0.0,0.0,0.0,0.2822
22-02,16:20,146.442,17.9075,243.25342,9.52,3.302,-4.088,98.0,1.45,0.0,0.0,0.2777
22-02,16:30,90.5045,0.499496,245.05639,9.49,3.003,-4.797,97.0,1.95,0.0,0.0,0.2713
22-02,16:40,84.3898,0.232438,246.82122,9.46,2.844,-5.256,96.0,1.95,0.0,0.0,0.2674
22-02,16:50,74.7888,0.692369,248.55144,9.53,3.053,-4.837,96.0,1.7,0.0,0.0,0.2674
22-02,17:10,36.9596,-0.123637,251.92183,9.02,2.59,-5.51,62.0,1.7,0.0,0.0,0.2475
22-02,17:20,23.8846,-0.123637,253.56881,9.03,2.478,-5.622,18.0,1.45,0.0,0.0,0.2332
22-02,17:30,14.3049,-0.173091,255.19481,8.65,2.53,-4.87,0.0,1.2,0.0,0.0,0.1723
22-02,17:40,4.36094,-0.464875,256.80315,7.826,2.413,-4.087,0.0,0.0,0.0,0.0,0.0
23-02,06:50,1.15741,-1.088,103.31801,1.636,-0.965,-4.365,0.0,0.0,0.0,0.0,0.0
23-02,07:00,2.58275,-0.830843,104.92627,1.46,-1.126,-4.426,0.0,0.0,0.0,0.0,0.0342
23-02,07:10,4.18804,-0.178038,106.55279,1.499,-1.126,-4.626,5.0,0.0,0.0,0.0,0.1978
23-02,07:20,6.37809,-0.479713,108.2009,1.662,-1.131,-4.731,23.0,2.45,0.0,0.0,0.2744
23-02,07:30,14.9034,-0.415423,109.87399,1.45,-0.821,-3.621,78.0,3.45,0.0,0.0,0.2881
23-02,07:40,26.8092,-0.074182,111.57547,1.143,-0.772,-3.072,92.0,2.95,0.0,0.0,0.2878
23-02,07:50,31.8616,0.168147,113.30879,1.237,-0.67,-2.97,92.0,2.95,0.0,0.55,0.2899
23-02,08:00,29.4605,-0.717102,115.07745,0.216,-0.684,-1.784,91.0,1.95,0.0,1.0,0.3161
23-02,08:10,31.4021,-0.356075,116.885,-0.339,-0.689,-1.189,92.0,1.45,0.0,1.0,0.4281
23-02,08:20,41.648,-0.232437,118.73503,-0.584,-0.814,-1.114,95.0,0.7,0.0,1.0,0.5365
23-02,08:30,64.5883,0.18793,120.63117,-0.56,-0.715,-0.915,95.0,0.0,0.0,1.0,0.5767
23-02,08:40,73.917,-0.687425,122.57705,-0.353,-0.459,-0.659,95.0,0.0,0.0,1.0,0.6196
23-02,08:50,80.7842,-0.895138,124.57631,-0.232,-0.338,-0.538,96.0,0.0,0.0,1.0,0.6565
23-02,09:00,78.2562,0.405534,126.63256,-0.009,-0.228,-0.428,96.0,0.0,0.0,1.0,0.6593
23-02,09:10,66.8782,0.395639,128.74933,-0.285,-0.503,-0.703,95.0,1.7,0.0,1.0,0.6128
23-02,09:20,56.375,0.395639,130.93002,-0.405,-0.523,-0.723,96.0,2.45,0.0,1.0,0.6247
23-02,09:30,57.1712,0.484662,133.17785,-0.405,-0.5,-0.6,96.0,2.7,0.254,1.0,0.6691
23-02,09:40,70.4307,0.736878,135.4958,-0.338,-0.372,-0.472,96.0,2.45,0.254,1.0,0.6648
23-02,09:50,103.795,1.18692,137.88646,-0.091,-0.098,-0.188,96.0,2.7,0.254,1.0,0.6528
23-02,10:00,135.069,1.38968,140.352,0.29,0.124,-0.076,95.0,3.45,0.254,1.0,0.5801
